Differential gene expression analysis between FOXP3high vs. FOXP3low samples										
geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	siggenes3	siggenes1	siggenes2	siggenes4
IGKV6D-21	-1.232815138	1.37428008	-2.729218081	0.008646998	0.052808359	-2.61706475	NA	not_sig	NA	other
IGLV3-1	-1.228974611	5.852075127	-2.639987245	0.010924239	0.060542911	-3.028928946	NA	not_sig	NA	other
IGHV3-33	-1.223430852	6.43568301	-2.858588791	0.006112664	0.042587216	-2.529978995	NA	FOXP3_low	IGHV3-33	other
BGN	1.219203636	5.738696646	5.288594318	2.50E-06	0.00133845	4.63534201	NA	FOXP3_high	BGN	other
IGHV3-43	-1.21850349	2.806012559	-3.162760149	0.002611231	0.026013576	-1.622543156	NA	FOXP3_low	IGHV3-43	other
PRR9	-1.211931072	1.468743936	-2.593618243	0.012313053	0.065413942	-2.912080653	NA	not_sig	NA	other
IGLV1-51	-1.207607423	6.054696107	-3.035708759	0.003746716	0.032112652	-2.08495556	NA	FOXP3_low	IGLV1-51	other
ACTG2	1.2049762	2.527115112	3.591348458	7.30E-04	0.01268126	-0.511017145	NA	FOXP3_high	ACTG2	other
IGHV3-49	-1.198248677	3.995903898	-2.211837174	0.031404924	0.11724642	-3.812669037	NA	not_sig	NA	other
MT-ND6	1.182256589	2.232418182	3.256801673	0.001988648	0.022168422	-1.380092043	NA	FOXP3_high	MT-ND6	other
IL21	-1.181489163	2.135877458	-4.084012278	1.54E-04	0.005585004	0.85416	IL21	FOXP3_low	IL21	CD
NRSN1	-1.17339161	4.67856281	-2.573686644	0.012958057	0.067592665	-3.125765013	NA	not_sig	NA	other
IGHV4-31	-1.170382977	1.669808279	-1.909803917	0.061692617	0.182797632	-4.22453419	NA	not_sig	NA	other
SPINK6	-1.165344807	1.699711266	-2.307364041	0.025056095	0.101630894	-3.506256009	NA	not_sig	NA	other
PLTP	1.162210157	6.03682451	4.319215865	7.08E-05	0.003950871	1.530607192	NA	FOXP3_high	PLTP	other
MYL9	1.160442675	4.865064484	5.403814161	1.66E-06	0.001184523	5.007083829	MYL9	FOXP3_high	MYL9	WH
ACOD1	-1.149526793	3.874602201	-2.661472722	0.0103306	0.058794124	-2.887106229	NA	not_sig	NA	other
MMP13	1.149201448	2.421183922	3.16807747	0.00257162	0.025771441	-1.605223082	NA	FOXP3_high	MMP13	other
AC247036.3	-1.143705937	0.292989677	-2.341478298	0.023082467	0.096907882	-3.420477034	NA	not_sig	NA	other
AC138827.1	1.142186376	1.600874095	2.509470758	0.015250707	0.075069948	-3.096823796	NA	not_sig	NA	other
RPS16	1.139465269	5.975668462	2.933947456	0.004973509	0.038142112	-2.342814375	NA	FOXP3_high	RPS16	other
IGLV1-41	-1.120611	1.112053537	-2.086634526	0.04185156	0.141218392	-3.905072042	NA	not_sig	NA	other
IGHG1	-1.117134726	12.4181842	-2.478902474	0.016466247	0.078706039	-3.225026006	NA	not_sig	NA	other
MTCO1P12	1.114997505	3.423990461	0.986694241	0.328370525	0.525300816	-5.530470358	NA	not_sig	NA	other
IGKV1-9	-1.114891227	4.74314856	-2.803643689	0.007090814	0.046884245	-2.599895009	NA	FOXP3_low	IGKV1-9	other
IGHD	-1.108524121	1.864992054	-2.004124069	0.050288591	0.159509563	-4.065342749	NA	not_sig	NA	other
IGKV3D-7	-1.106712547	0.825322938	-3.496976516	9.73E-04	0.014719747	-0.755712358	NA	FOXP3_low	IGKV3D-7	other
CCN1	1.103489134	6.02066093	3.71478076	4.98E-04	0.010072515	-0.263739646	CCN1	FOXP3_high	CCN1	WH
TCAF2C	1.096317632	-0.011540922	3.766897717	4.23E-04	0.009260671	-0.039170506	NA	FOXP3_high	TCAF2C	other
HLA-DRB4	1.094924338	3.650727181	1.271106744	0.209358524	0.394679077	-5.2661334	NA	not_sig	NA	other
IGHV5-51	-1.084291355	4.655623728	-2.868731023	0.005946385	0.042148943	-2.435304204	NA	FOXP3_low	IGHV5-51	other
IGLV1-36	-1.081998259	1.291865481	-2.74188451	0.008361707	0.05180703	-2.586640026	NA	not_sig	NA	other
IGHV4-59	-1.079951171	6.709643697	-2.681374376	0.009807226	0.056931776	-2.950185425	NA	not_sig	NA	other
CSF3	1.0796477	2.166298123	2.20873378	0.031633121	0.117815834	-3.720320136	NA	not_sig	NA	other
DCD	-1.073296766	1.078013634	-1.423149685	0.160676702	0.334295774	-4.929405109	NA	not_sig	NA	other
SPDYE2	1.072453672	1.103843695	4.942080527	8.46E-06	0.001575199	3.371795518	NA	FOXP3_high	SPDYE2	other
CCL14	1.068089139	0.912740542	3.303611369	0.00173379	0.0203643	-1.251319718	NA	FOXP3_high	CCL14	other
IGLV3-19	-1.066940519	5.970893097	-2.009263857	0.049723109	0.15830233	-4.330749737	NA	not_sig	NA	other
ANKRD36BP2	-1.066886563	4.725382176	-3.423924878	0.001213078	0.016690392	-1.025908761	NA	FOXP3_low	ANKRD36BP2	other
GZMH	-1.066472069	4.839636031	-3.305107887	0.001726175	0.020316667	-1.352950165	GZMH	FOXP3_low	GZMH	CD
CCN2	1.056847701	7.48781577	3.169251249	0.002562952	0.025771441	-1.748200812	CCN2	FOXP3_high	CCN2	WH
PRF1	-1.056439969	7.0304492	-3.09513488	0.003167708	0.029243669	-1.944292933	PRF1	FOXP3_low	PRF1	CD
UBALD1	1.054005619	1.63738934	4.190961128	1.08E-04	0.004812164	1.153121111	NA	FOXP3_high	UBALD1	other
IGKV3D-15	-1.05358689	2.7921108	-2.556106954	0.013552316	0.069639235	-3.024839807	NA	not_sig	NA	other
IGKV2-40	-1.05221421	0.639505732	-2.887696537	0.005646652	0.041113483	-2.253366724	NA	FOXP3_low	IGKV2-40	other
CXCL5	1.045460204	5.308102956	1.734247987	0.088810957	0.230995018	-4.793613322	NA	not_sig	NA	other
SLC27A2	-1.041908997	3.900179233	-3.971268376	2.21E-04	0.006681767	0.529621919	NA	FOXP3_low	SLC27A2	other
IGLV3-21	-1.039436251	6.600252841	-2.300164897	0.02549132	0.102594326	-3.778215886	NA	not_sig	NA	other
TRDC	-1.038925504	4.167212347	-3.884221394	2.92E-04	0.007593645	0.271414849	NA	FOXP3_low	TRDC	other
MT-CO3	1.038771691	9.067024981	4.934740863	8.68E-06	0.001576959	3.478897902	NA	FOXP3_high	MT-CO3	other
CD248	1.036160455	4.6106622	5.853904064	3.29E-07	8.05E-04	6.495360799	NA	FOXP3_high	CD248	other
MTND2P28	1.029344049	0.605934838	4.087543834	1.52E-04	0.005568481	0.850549436	NA	FOXP3_high	MTND2P28	other
GNLY	-1.029067407	6.949214894	-2.459197973	0.017295531	0.081058008	-3.442719207	NA	not_sig	NA	other
AC270289.3	1.028902748	1.101744553	2.393086495	0.020360273	0.089356658	-3.325312815	NA	not_sig	NA	other
FNDC1	1.026223051	5.93531043	4.246087547	9.03E-05	0.004438145	1.307074343	NA	FOXP3_high	FNDC1	other
POSTN	1.018214026	8.104397081	2.403573148	0.019843698	0.087916453	-3.540774592	NA	not_sig	NA	other
IGHV3-66	-1.015493043	1.570768666	-1.706844595	0.093828377	0.239429437	-4.540430994	NA	not_sig	NA	other
KCNN3	-1.012295783	3.22386533	-2.578504706	0.012799381	0.067009907	-3.001722631	NA	not_sig	NA	other
SLIT3	1.010620213	4.229400177	3.251885805	0.002017376	0.022310229	-1.463404441	NA	FOXP3_high	SLIT3	other
IGHV2-26	-1.009478421	3.480980335	-1.672385194	0.100467405	0.249991919	-4.692844194	NA	not_sig	NA	other
IGLV1-47	-1.00852869	5.173345758	-2.158134219	0.035565604	0.126914142	-4.006489909	NA	not_sig	NA	other
AL662796.1	-1.005789069	2.054578593	-0.71475473	0.477963577	0.656854935	-5.669593143	NA	not_sig	NA	other
IGHV1-18	-1.004488395	6.265576608	-1.997747254	0.050997875	0.161221821	-4.355389761	NA	not_sig	NA	other
BANF1	1.00229019	3.378707642	3.61245669	6.84E-04	0.012355358	-0.469060609	NA	FOXP3_high	BANF1	other
GAL3ST4	1.001237828	2.528621471	3.956451405	2.32E-04	0.006825719	0.495604179	NA	FOXP3_high	GAL3ST4	other
IGKV4-1	-0.998652154	7.472862382	-2.551721242	0.01370438	0.070055975	-3.239867534	NA	not_sig	NA	other
MAP1B	0.993685413	6.242978647	4.661350514	2.23E-05	0.002344307	2.599171098	MAP1B	FOXP3_high	MAP1B	WH
IGLV7-46	-0.99350338	3.286372548	-1.697849063	0.09552557	0.241957607	-4.63608153	NA	not_sig	NA	other
CCL21	0.990773817	3.291688193	2.725919711	0.008722743	0.053092911	-2.695559678	NA	not_sig	NA	other
CD79A	-0.990517907	3.558568301	-2.372674027	0.021400535	0.092190327	-3.456733982	NA	not_sig	NA	other
CD209	0.990433215	4.521932838	4.769608884	1.54E-05	0.001929039	2.95180092	NA	FOXP3_high	CD209	other
IGKV1D-8	-0.986888917	1.899850502	-2.554165329	0.013619447	0.069767583	-3.000825596	NA	not_sig	NA	other
FCRL5	-0.985465019	4.9494631	-2.920997754	0.005154042	0.038986054	-2.328030642	NA	FOXP3_low	FCRL5	other
FAM25BP	-0.983386245	2.926443853	-3.291625198	0.001795934	0.020842463	-1.30084062	NA	FOXP3_low	FAM25BP	other
IGLV5-45	-0.981062339	1.870234889	-1.972945225	0.053839113	0.167361556	-4.123487819	NA	not_sig	NA	other
GZMK	-0.980118274	5.862152945	-3.692351655	5.34E-04	0.010630269	-0.326013068	NA	FOXP3_low	GZMK	other
DERL3	-0.979806608	3.937340236	-2.321437057	0.024224387	0.099673865	-3.590736227	NA	not_sig	NA	other
RASSF6	-0.977561468	2.640224582	-3.057527256	0.003523494	0.031054989	-1.875742428	NA	FOXP3_low	RASSF6	other
COL5A1	0.969587244	8.165873764	4.120746327	1.36E-04	0.005329825	0.936369848	COL5A1	FOXP3_high	COL5A1	WH
GZMA	-0.964617106	6.781313196	-3.674936055	5.64E-04	0.010946299	-0.382193396	GZMA	FOXP3_low	GZMA	CD
IGKV1D-39	-0.964010803	6.944475569	-2.031012096	0.047390686	0.153154462	-4.302333127	NA	not_sig	NA	other
ANKRD36BP1	0.962107489	0.119115635	2.221487284	0.030704595	0.115487852	-3.649868826	NA	not_sig	NA	other
IGKV1D-16	-0.959582767	1.076765885	-2.2668083	0.027596935	0.108071691	-3.570297971	NA	not_sig	NA	other
AC142381.1	-0.958722995	1.591511228	-2.203728044	0.032004285	0.118707686	-3.698858192	NA	not_sig	NA	other
SCGB2A2	-0.953265622	0.957981157	-1.76201293	0.083956307	0.223010975	-4.44624882	NA	not_sig	NA	other
MARCO	-0.953027873	3.830245616	-1.699691886	0.095175837	0.241490417	-4.715700369	NA	not_sig	NA	other
MFAP4	0.943896601	3.174429387	2.489248924	0.01604535	0.077401865	-3.195484304	NA	not_sig	NA	other
HK2P1	0.941979197	0.576908667	2.886419872	0.00566638	0.041239589	-2.256526083	NA	FOXP3_high	HK2P1	other
TMEM265	-0.939980803	0.022154788	-3.409799352	0.001265456	0.017114897	-0.980515524	NA	FOXP3_low	TMEM265	other
S100P	-0.939224363	2.527776842	-2.206493751	0.031798742	0.118235818	-3.728392126	NA	not_sig	NA	other
IGFL2	-0.938365705	1.913138468	-2.548777255	0.013807325	0.070414067	-3.01488891	NA	not_sig	NA	other
KLRC1	-0.937202975	4.141838962	-2.851900473	0.006224664	0.042965488	-2.45666064	KLRC1	FOXP3_low	KLRC1	CD
GZMB	-0.936354737	6.561870436	-2.583344653	0.012641769	0.066550965	-3.173931331	NA	not_sig	NA	other
ADRA2A	0.93564895	2.405873887	3.179284818	0.002489975	0.025396555	-1.574724492	ADRA2A	FOXP3_high	ADRA2A	WH
KLRD1	-0.933715622	6.747179128	-3.565401953	7.91E-04	0.013324661	-0.690475543	KLRD1	FOXP3_low	KLRD1	CD
COL10A1	0.933045344	3.381078405	2.418767471	0.019116103	0.085899572	-3.364860627	NA	not_sig	NA	other
SLC40A1	0.928495553	5.021439747	2.7666962	0.007827819	0.049829902	-2.706601263	NA	FOXP3_high	SLC40A1	other
TSPAN18	0.926106613	2.809237917	5.236912013	3.00E-06	0.001353671	4.353630466	NA	FOXP3_high	TSPAN18	other
AC010507.1	0.926102206	0.455953346	3.327998845	0.001613575	0.019555884	-1.189278381	NA	FOXP3_high	AC010507.1	other
IGKV5-2	-0.924030322	0.68781056	-2.156542849	0.035695956	0.127273216	-3.77324909	NA	not_sig	NA	other
FGFBP1	-0.923885238	5.202980917	-2.554720407	0.013600225	0.069710819	-3.201077506	NA	not_sig	NA	other
IGHV3-69-1	-0.922359477	5.284057557	-1.488769583	0.142600036	0.310419003	-5.15079564	NA	not_sig	NA	other
EPHX1	0.914320861	3.439246488	4.50301157	3.82E-05	0.0030884	2.111911556	NA	FOXP3_high	EPHX1	other
CCL7	-0.9129671	2.530645666	-2.424485759	0.018848553	0.085324205	-3.302960926	NA	not_sig	NA	other
GNAO1	0.911635505	1.779670408	6.017186614	1.82E-07	6.24E-04	6.746526817	NA	FOXP3_high	GNAO1	other
IGHV1-67	-0.908195213	0.401357174	-2.307082754	0.025072976	0.101658608	-3.485931848	NA	not_sig	NA	other
FABP5P7	0.90751321	-0.011535899	1.540354923	0.129549591	0.292645153	-4.763821585	NA	not_sig	NA	other
SEC11C	-0.906763939	5.734720857	-4.427681513	4.93E-05	0.00341725	1.86959889	NA	FOXP3_low	SEC11C	other
RHOJ	0.906314768	3.068174686	4.269513473	8.35E-05	0.004274574	1.405790513	NA	FOXP3_high	RHOJ	other
IGFL1	-0.901518917	1.767759315	-1.888101797	0.064608382	0.188615502	-4.262851451	NA	not_sig	NA	other
IGHV1OR16-1	-0.901048134	1.08895285	-2.692684474	0.009520738	0.055724269	-2.694092762	NA	not_sig	NA	other
IGLV1-44	-0.90097307	5.334306188	-1.85543918	0.06921686	0.197227742	-4.57099427	NA	not_sig	NA	other
ENG	0.897858897	5.947729648	4.787323157	1.45E-05	0.001929039	3.002169455	NA	FOXP3_high	ENG	other
NID1	0.897126713	6.467163855	5.142499681	4.19E-06	0.001368482	4.154521179	NA	FOXP3_high	NID1	other
RPL28	0.896771097	6.669335861	3.494249958	9.82E-04	0.014802522	-0.887848584	NA	FOXP3_high	RPL28	other
ATP6V0C	0.893761823	4.509449784	3.771275984	4.18E-04	0.00920365	-0.065501386	NA	FOXP3_high	ATP6V0C	other
XBP1	-0.893016773	8.717447587	-3.898277533	2.79E-04	0.007418719	0.284830577	NA	FOXP3_low	XBP1	other
AC008695.1	0.890273012	1.613381046	1.869586881	0.067187659	0.193755236	-4.286466434	NA	not_sig	NA	other
ADAM23	0.889594434	2.020084087	4.224052113	9.71E-05	0.004577216	1.253904411	NA	FOXP3_high	ADAM23	other
SDC3	0.887804274	6.510841029	3.974273957	2.19E-04	0.006681767	0.485221561	NA	FOXP3_high	SDC3	other
UGT2B17	-0.884098668	0.301182617	-3.601942264	7.07E-04	0.012542566	-0.480497946	NA	FOXP3_low	UGT2B17	other
TENT5C	-0.883967581	7.28392271	-2.797030599	0.00721783	0.047379619	-2.678507146	NA	FOXP3_low	TENT5C	other
FHL3	0.883245175	2.903178742	5.444340588	1.44E-06	0.001184523	5.026847129	NA	FOXP3_high	FHL3	other
PTHLH	-0.881833953	2.909578264	-2.015535484	0.04904054	0.156711934	-4.098653148	NA	not_sig	NA	other
SOX7	0.881678284	2.769022311	4.464863597	4.35E-05	0.003237849	1.979604392	NA	FOXP3_high	SOX7	other
DIRAS3	0.877983789	1.580450874	2.66294987	0.010290892	0.058637667	-2.766224349	NA	not_sig	NA	other
CEP128	-0.877732674	4.848051816	-3.409425902	0.00126687	0.017114897	-1.072549934	NA	FOXP3_low	CEP128	other
IGHV4-34	-0.87750672	6.359591377	-1.571353311	0.122178046	0.282676505	-5.062526213	NA	not_sig	NA	other
LMOD1	0.868946617	2.703566953	3.449959865	0.001121892	0.015907929	-0.886827929	NA	FOXP3_high	LMOD1	other
IGKV3-7	-0.866911887	1.509250596	-2.21783294	0.030968159	0.116029096	-3.668966759	NA	not_sig	NA	other
APLN	0.863619804	3.789434129	2.253067068	0.028508314	0.110328787	-3.735218358	NA	not_sig	NA	other
FBP1	0.863615735	6.348940141	2.243495856	0.029158785	0.111860258	-3.89521091	NA	not_sig	NA	other
ZNF215	-0.863510494	3.022556482	-3.448173855	0.001127933	0.015932917	-0.896625996	NA	FOXP3_low	ZNF215	other
AOC3	0.863088897	3.250212879	3.450119964	0.001121352	0.015907929	-0.899744959	NA	FOXP3_high	AOC3	other
EIF3CL	0.86193991	1.824206255	1.75294566	0.08551681	0.225553117	-4.484277474	NA	not_sig	NA	other
KLRC2	-0.859455602	2.159590912	-2.681170556	0.00981246	0.056942861	-2.73698937	NA	not_sig	NA	other
